Rekkefølge;År;Hovedlokalitet;Hovedlokkode;Sted;Nr;Mnd;Dag;Hab;Art;Populasjon;ArtPop;Vekt;Lengde;Lencm;Lengrcm;Kond;Kjønn;Stadium;Operculum;Alder;ALDOK;AltAld;AldMerkn;Mage;MC;Azygia;Gjeddemakk;Gjellelus;Muskel;SIA;Merknad;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;90pigg;sik;lagesild;UidCoreg;abbor;ørekyte;lake;gjedde;ørret;niøye;Egg;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;;;;Piscivorous
1032;2020;Skrukkebukta;2;SB;1100;9;11;1;2;-;2;50,5;166;16,6;16;1,103995019;1;1;+;5;1;-;;+;-;-;-;2;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1663;2021;Skrukkebukta;2;SB;1042;9;9;1;2;         -;2;51;166;16,6;16;1,114925663;2;2;       +;;;;;;        -;        -;        -;1;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
509;2019;Skrukkebukta;2;SB;1040;9;10;1;2;          ;2;46,6;166;16,6;16;1,018735998;1;1;+;4;1;-;;        +;         -;         -;             -;0;              +;               -;;20;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
491;2019;Skrukkebukta;2;SB;1022;9;10;1;2;          ;2;40,8;166;16,6;16;0,89194053;1;1;+;5;1;-;vanskelig, litt ødelagt;        +;         -;         -;             -;2;              +;              +;;90;;;;;;;;;;;5;;;;;;;;;;;;;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
479;2019;Skrukkebukta;2;SB;1008;9;10;1;2;          ;2;52;167;16,7;16;1,116487667;2;1;+;6;1;5;;        +;         -;         -;             -;1;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
560;2019;Skrukkebukta;2;SB;1094;9;11;1;2;          ;2;55,2;167;16,7;16;1,185194601;1;1;+;6;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
160;2018;Skrukkebukta;2;SB;1076;9;10;1;2;;2;58,8;168;16,8;16;1,240079365;1;1;+;6;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
989;2020;Skrukkebukta;2;SB;1057;9;11;1;2;-;2;54,7;168;16,8;16;1,153611246;2;2;+;7;1;-;;+;-;-;-;2;+;-;;20;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
507;2019;Skrukkebukta;2;SB;1038;9;10;1;2;          ;2;53,2;168;16,8;16;1,121976568;2;2;+;7;1;-;;        +;         -;         -;             -;0;              +;               -;;80;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
109;2018;Skrukkebukta;2;SB;1016;9;10;1;2;;2;55,6;169;16,9;16;1,151899733;1;1;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
943;2020;Skrukkebukta;2;SB;1011;9;11;1;2;-;2;59,2;169;16,9;16;1,226483169;2;2;+;5;1;6;;-;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
991;2020;Skrukkebukta;2;SB;1059;9;11;1;2;-;2;58;169;16,9;16;1,201622024;2;2;+;7;1;-;;+;-;-;-;1;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
553;2019;Skrukkebukta;2;SB;1087;9;11;1;2;          ;2;54,4;169;16,9;16;1,127038588;2;2;+;5;1;4;;        +;         -;         -;             -;0;              +;               -;;20;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
506;2019;Skrukkebukta;2;SB;1037;9;10;1;2;          ;2;52,6;170;17;17;1,070628944;1;2;+;6;1;-;;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
585;2019;Skrukkebukta;2;SB;1120;9;11;1;2;          ;2;56,5;170;17;17;1,150010177;2;2;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
941;2020;Skrukkebukta;2;SB;1009;9;11;1;2;-;2;57,7;170;17;17;1,174435172;2;2;+;3;1;-;;+;-;-;-;1;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
155;2018;Skrukkebukta;2;SB;1071;9;10;1;2;;2;64;171;17,1;17;1,279945986;2;2;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
501;2019;Skrukkebukta;2;SB;1032;9;10;1;2;          ;2;55,6;171;17,1;17;1,111953076;2;1;+;7;1;-;;        +;         -;         -;             -;1;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
505;2019;Skrukkebukta;2;SB;1036;9;10;1;2;          ;2;52,6;171;17,1;17;1,051955607;2;1;+;6;1;-;;        +;         -;         -;             -;1;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
526;2019;Skrukkebukta;2;SB;1058;9;10;1;2;          ;2;56,4;171;17,1;17;1,1279524;1;1;+;7;1;-;;        +;         -;         -;             -;          -;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1625;2021;Skrukkebukta;2;SB;1002;9;9;1;2;         -;2;54,2;171;17,1;17;1,083954257;1;1;       +;;;;;;        -;        -;        -;1;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1030;2020;Skrukkebukta;2;SB;1098;9;11;1;2;-;2;55;171;17,1;17;1,099953582;1;1;+;7;1;-;;+;-;-;-;0;-;-;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;uid. rest;;;;0
1016;2020;Skrukkebukta;2;SB;1084;9;11;1;2;-;2;59,2;171;17,1;17;1,183950037;1;1;+;5;1;-;;+;-;-;-;2;-;-;;80;;1;;4;;;;;;;5;;;;;;;;;;;20;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;0
116;2018;Skrukkebukta;2;SB;1023;9;10;1;2;;2;62,8;172;17,2;17;1,234168061;1;1;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
503;2019;Skrukkebukta;2;SB;1034;9;10;1;2;          ;2;61,2;172;17,2;17;1,202724288;1;1;+;7;1;8;;        +;         -;         -;             -;1;              +;              +;;30;;;;;;;;;;;1;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;0
529;2019;Skrukkebukta;2;SB;1062;9;10;1;2;          ;2;62,4;172;17,2;17;1,226307118;2;2;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;50;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
510;2019;Skrukkebukta;2;SB;1041;9;10;1;2;          ;2;57;173;17,3;17;1,100871291;2;1;+;7;1;-;;        +;         -;         -;             -;0;              +;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
569;2019;Skrukkebukta;2;SB;1104;9;11;1;2;          ;2;57,8;173;17,3;17;1,116322116;1;1;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
499;2019;Skrukkebukta;2;SB;1030;9;10;1;2;          ;2;59;173;17,3;17;1,139498354;1;1;+;9;1;-;;        +;         -;         -;             -;0;              +;              +;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;rest;;;;1
537;2019;Skrukkebukta;2;SB;1070;9;10;1;2;          ;2;60,2;173;17,3;17;1,162674592;2;1;+;7;1;8;;        +;         -;         -;             -;0;               -;               -;;50;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;20;;;;;;;;;;;;;;;;rest;;;;1
584;2019;Skrukkebukta;2;SB;1119;9;11;1;2;          ;2;57,2;174;17,4;17;1,085796116;2;1;+;6;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1022;2020;Skrukkebukta;2;SB;1090;9;11;1;2;-;2;62,3;174;17,4;17;1,182606609;1;1;+;6;1;-;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
530;2019;Skrukkebukta;2;SB;1063;9;10;1;2;          ;2;62;174;17,4;17;1,176911874;1;1;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;80;;;;;;;;;;;1;;;;;;;;;;;;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
484;2019;Skrukkebukta;2;SB;1013;9;10;1;2;          ;2;64,8;175;17,5;17;1,20909621;2;1;+;4;1;-;;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1652;2021;Skrukkebukta;2;SB;1030;9;9;1;2;         -;2;59,4;175;17,5;17;1,108338192;2;2;       +;;;;;;        -;        -;        -;0;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
478;2019;Skrukkebukta;2;SB;1007;9;10;1;2;          ;2;54;175;17,5;17;1,007580175;1;1;+;7;1;-;;        +;         -;         -;             -;1;              +;              +;;20;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;0
158;2018;Skrukkebukta;2;SB;1074;9;10;1;2;;2;53,8;176;17,6;17;0,986834382;1;2;+;4;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
561;2019;Skrukkebukta;2;SB;1095;9;11;1;2;          ;2;59,4;176;17,6;17;1,089553202;1;1;+;6;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
972;2020;Skrukkebukta;2;SB;1040;9;11;1;2;-;2;63,1;176;17,6;17;1,157420995;2;2;+;5;1;-;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1649;2021;Skrukkebukta;2;SB;1027;9;9;1;2;         -;2;61,4;176;17,6;17;1,126238495;2;2;       +;;;;;;        -;        -;        -;2;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1662;2021;Skrukkebukta;2;SB;1041;9;9;1;2;         -;2;62;176;17,6;17;1,137244083;1;1;       +;;;;;;        -;        -;        -;1;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1026;2020;Skrukkebukta;2;SB;1094;9;11;1;2;-;2;65;176;17,6;17;1,192272023;2;1;+;7;1;-;;+;-;-;-;0;-;-;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;1
961;2020;Skrukkebukta;2;SB;1029;9;11;1;2;-;2;67,4;176;17,6;17;1,236294375;2;2;+;4;1;-;;+;-;-;-;0;+;-;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;1
476;2019;Skrukkebukta;2;SB;1005;9;10;1;2;          ;2;62,8;176;17,6;17;1,151918201;1;1;+;8;1;-;;        +;         -;         -;             -;0;              +;              +;;60;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
114;2018;Skrukkebukta;2;SB;1021;9;10;1;2;;2;74,4;176;17,6;17;1,3646929;2;1;+;5;1;-;; +;-;-;-;0;+;+;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;1 x stickleback;;;;1
973;2020;Skrukkebukta;2;SB;1041;9;11;1;2;-;2;55,8;177;17,7;17;1,006269709;2;2;+;8;1;-;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1018;2020;Skrukkebukta;2;SB;1086;9;11;1;2;-;2;70,7;177;17,7;17;1,274968969;2;2;+;7;1;-;;+;-;-;-;1;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
559;2019;Skrukkebukta;2;SB;1093;9;11;1;2;          ;2;68;177;17,7;17;1,226278499;2;2;+;7;1;6;vanskelig;        +;         -;         -;             -;2;              +;               -;;10;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;rest;;;;0
558;2019;Skrukkebukta;2;SB;1092;9;11;1;2;          ;2;58,6;177;17,7;17;1,05676353;1;1;+;6;1;7;;        +;         -;         -;             -;0;              +;               -;;50;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
166;2018;Skrukkebukta;2;SB;1082;9;11;1;2;;2;71,6;178;17,8;17;1,269559371;1;1;+;6;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
567;2019;Skrukkebukta;2;SB;1102;9;11;1;2;          ;2;65,8;178;17,8;17;1,166717969;1;1;+;6;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
582;2019;Skrukkebukta;2;SB;1117;9;11;1;2;          ;2;58;178;17,8;17;1,028414015;1;1;+;7;1;6;vanskelig;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
963;2020;Skrukkebukta;2;SB;1031;9;11;1;2;-;2;59,9;178;17,8;17;1,06210344;1;1;+;5;1;-;;+;-;-;-;0;+;-;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1027;2020;Skrukkebukta;2;SB;1095;9;11;1;2;-;2;62,7;178;17,8;17;1,111751013;1;1;+;7;1;6;;+;-;-;-;0;-;-;;50;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
944;2020;Skrukkebukta;2;SB;1012;9;11;1;2;-;2;66,8;178;17,8;17;1,184449245;2;2;+;5;1;-;;-;-;-;-;5;+;-;;60;;;;;;;;;;;;;;;;;;;;1;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
523;2019;Skrukkebukta;2;SB;1055;9;10;1;2;          ;2;70,4;179;17,9;17;1,227477574;2;1;+;6;1;-;vanskelig;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
475;2019;Skrukkebukta;2;SB;1004;9;10;1;2;          ;2;65,8;180;18;18;1,128257888;1;1;+;7;1;8;;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
502;2019;Skrukkebukta;2;SB;1033;9;10;1;2;          ;2;66;180;18;18;1,131687243;1;1;+;8;1;-;;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
522;2019;Skrukkebukta;2;SB;1054;9;10;1;2;          ;2;60;180;18;18;1,028806584;1;1;+;6;1;5;;        +;         -;         -;             -;1;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
536;2019;Skrukkebukta;2;SB;1069;9;10;1;2;          ;2;69,8;180;18;18;1,196844993;2;2;+;5;1;-;;        +;         -;         -;             -;3;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
988;2020;Skrukkebukta;2;SB;1056;9;11;1;2;-;2;69,7;180;18;18;1,195130316;2;2;+;7;1;-;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1004;2020;Skrukkebukta;2;SB;1072;9;11;1;2;-;2;67,6;180;18;18;1,159122085;1;1;+;6;1;-;;+;-;-;-;1;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1651;2021;Skrukkebukta;2;SB;1029;9;9;1;2;         -;2;62,4;180;18;18;1,069958848;1;1;       +;;;;;;        -;        -;        -;1;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
958;2020;Skrukkebukta;2;SB;1026;9;11;1;2;-;2;66,4;180;18;18;1,138545953;1;1;+;6;1;5;;+;-;-;-;1;+;-;;40;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1002;2020;Skrukkebukta;2;SB;1070;9;11;1;2;-;2;67,3;181;18,1;18;1,134956822;1;1;+;6;1;-;;+;-;-;-;2;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1641;2021;Skrukkebukta;2;SB;1019;9;9;1;2;         -;2;59,2;181;18,1;18;0,998357264;2;2;       +;;;;;;        -;        -;        -;1;        +;1;;20;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
498;2019;Skrukkebukta;2;SB;1029;9;10;1;2;          ;2;75,8;182;18,2;18;1,257346687;2;2;+;10;1;11;vanskelig;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
946;2020;Skrukkebukta;2;SB;1014;9;11;1;2;-;2;69,2;182;18,2;18;1,147867951;2;1;+;5;1;6;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
970;2020;Skrukkebukta;2;SB;1038;9;11;1;2;-;2;67;182;18,2;18;1,11137504;2;2;+;6;1;7;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1640;2021;Skrukkebukta;2;SB;1018;9;9;1;2;         -;2;73,6;182;18,2;18;1,220853775;2;2;       +;;;;;;        -;        -;        -;1;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1029;2020;Skrukkebukta;2;SB;1097;9;11;1;2;-;2;73,6;182;18,2;18;1,220853775;2;2;+;7;1;-;;+;-;-;-;0;-;-;;30;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
497;2019;Skrukkebukta;2;SB;1028;9;10;1;2;          ;2;77,2;182;18,2;18;1,280569449;2;2;+;8;1;7;;        +;         -;         -;             -;0;              +;              +;;70;;;;;;;;;;;;;;;;;;;;;;5;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;0
521;2019;Skrukkebukta;2;SB;1053;9;10;1;2;          ;2;74;183;18,3;18;1,207475842;2;1;+;5;1;-;;        +;         -;         -;             -;1;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
566;2019;Skrukkebukta;2;SB;1101;9;11;1;2;          ;2;67,2;183;18,3;18;1,096518602;2;2;+;5;1;6;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
562;2019;Skrukkebukta;2;SB;1096;9;11;1;2;          ;2;78,6;183;18,3;18;1,282535151;2;2;+;7;1;6;;        +;         -;         -;             -;0;               -;               -;;5;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
985;2020;Skrukkebukta;2;SB;1053;9;11;1;2;-;2;74,9;183;18,3;18;1,222161359;1;1;+;8;1;7;;+;-;-;-;0;+;-;;40;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;30;;;;;;;;;;;;;;;;;;;;1
96;2018;Skrukkebukta;2;SB;1003;9;10;1;2;;2;73,2;184;18,4;18;1,175053423;2;1;+;4;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
130;2018;Skrukkebukta;2;SB;1037;9;10;1;2;;2;75;184;18,4;18;1,20394818;1;1;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
534;2019;Skrukkebukta;2;SB;1067;9;10;1;2;          ;2;81;185;18,5;18;1,279292441;2;2;+;5;1;-;;        +;         -;         -;             -;2;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
557;2019;Skrukkebukta;2;SB;1091;9;11;1;2;          ;2;71;185;18,5;18;1,121355102;1;1;+;6;1;-;;        +;         -;         -;             -;0;              +;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
